,id,title,date,journal
0,1.0,"a 44-year-old man with erythema of the face diphenhydramine, neck, and chest, weakness, and palpitations",01/01/2019,Journal of emergency nursing
1,2.0,"an evaluation of benadryl, pyribenzamine, and other so-called diphenhydramine antihistaminic drugs in the treatment of allergy.",01/01/2019,Journal of emergency nursing
2,3.0,diphenhydramine hydrochloride helps symptoms of ciguatera fish poisoning.,02/01/2019,The Journal of pediatrics
3,4.0,tetracycline resistance patterns of lactobacillus buchneri group strains.,01/01/2020,Journal of food protection
4,5.0,appositional tetracycline bone formation rates in the beagle.,02/01/2020,American journal of veterinary research
5,6.0,"rapid reacquisition of contextual fear following extinction in mice: effects of amount of extinction, tetracycline acute ethanol withdrawal, and ethanol intoxication.",2020-01-01,Psychopharmacology
6,7.0,the high cost of epinephrine autoinjectors and possible alternatives.,01/02/2020,The journal of allergy and clinical immunology. In practice
7,8.0,time to epinephrine treatment is associated with the risk of mortality in children who achieve sustained rosc after traumatic out-of-hospital cardiac arrest.,01/03/2020,The journal of allergy and clinical immunology. In practice
8,9.0,gold nanoparticles synthesized from euphorbia fischeriana root by green route method alleviates the isoprenaline hydrochloride induced myocardial infarction in rats.,01/01/2020,"Journal of photochemistry and photobiology. B, Biology"
9,10.0,clinical implications of umbilical artery doppler changes after betamethasone administration,01/01/2020,The journal of maternal-fetal & neonatal medicine
10,11.0,effects of topical application of betamethasone on imiquimod-induced psoriasis-like skin inflammation in mice.,01/01/2020,Journal of back and musculoskeletal rehabilitation
11,12.0,"comparison of pressure release, phonophoresis and dry needling in treatment of latent myofascial trigger point of upper trapezius muscle.",01/03/2020,Journal of back and musculoskeletal rehabilitation
12,,"comparison of pressure betamethasone release, phonophoresis and dry needling in treatment of latent myofascial trigger point of upper trapezius atropine muscle.",01/03/2020,The journal of maternal-fetal & neonatal medicine
